N,Caso,Secuencial,BinariaRec,Exponencial,Interpolacion
1000,PEOR,0.0000056847,0.0000000387,0.0000000096,0.0000000025
1000,PROMEDIO,0.0000083813,0.0000000728,0.0000000696,0.0000000078
3000,PEOR,0.0000110535,0.0000000395,0.0000000082,0.0000000024
3000,PROMEDIO,0.0000108641,0.0000000939,0.0000000896,0.0000000093
5000,PEOR,0.0000132639,0.0000000423,0.0000000080,0.0000000028
5000,PROMEDIO,0.0000136866,0.0000001076,0.0000001015,0.0000000104
7000,PEOR,0.0000174908,0.0000000427,0.0000000081,0.0000000026
7000,PROMEDIO,0.0000157520,0.0000001165,0.0000001187,0.0000000111
9000,PEOR,0.0000207559,0.0000000463,0.0000000084,0.0000000024
9000,PROMEDIO,0.0000163247,0.0000001134,0.0000001123,0.0000000107
11000,PEOR,0.0000233583,0.0000000465,0.0000000082,0.0000000024
11000,PROMEDIO,0.0000176996,0.0000001206,0.0000001228,0.0000000115
13000,PEOR,0.0000251900,0.0000000470,0.0000000081,0.0000000024
13000,PROMEDIO,0.0000191418,0.0000001247,0.0000001283,0.0000000119
15000,PEOR,0.0000275308,0.0000000463,0.0000000080,0.0000000024
15000,PROMEDIO,0.0000204827,0.0000001249,0.0000001257,0.0000000117
17000,PEOR,0.0000300935,0.0000000529,0.0000000085,0.0000000024
17000,PROMEDIO,0.0000221314,0.0000001279,0.0000001326,0.0000000126
19000,PEOR,0.0000319103,0.0000000596,0.0000000082,0.0000000025
19000,PROMEDIO,0.0000233079,0.0000001416,0.0000001312,0.0000000121
