n,pivote_ultimo,pivote_mediana
5000,0.000112,0.000109
10000,0.000149,0.000126
15000,0.000413,0.000346
20000,0.000508,0.000470
25000,0.000575,0.000507
30000,0.000790,0.000689
35000,0.000870,0.000854
40000,0.000973,0.000849
45000,0.001329,0.001162
50000,0.001275,0.001277
55000,0.001395,0.001209
60000,0.001454,0.001577
65000,0.001450,0.001448
70000,0.001591,0.001429
75000,0.001761,0.001466
80000,0.002287,0.002431
85000,0.002404,0.002369
90000,0.002897,0.002421
95000,0.002012,0.002247
100000,0.003219,0.003220
