n,merge_clasico,qs_ultimo,qs_primero,qs_aleatorio,qs_mediana
1000,0.000218,0.000178,0.000185,0.000186,0.000232
3000,0.000615,0.000624,0.000700,0.000672,0.000826
5000,0.001187,0.001155,0.001169,0.001315,0.001545
7000,0.001652,0.001770,0.001813,0.001903,0.002299
9000,0.002102,0.002469,0.002539,0.002638,0.003047
11000,0.002530,0.003114,0.003249,0.003422,0.004121
13000,0.002873,0.004138,0.004022,0.004261,0.005003
15000,0.003450,0.005181,0.005049,0.005218,0.006626
17000,0.003809,0.005743,0.005765,0.006122,0.007241
19000,0.004250,0.006697,0.006733,0.006993,0.008281
