n,merge_clasico,merge_opt8,merge_opt16,merge_opt32,qs_ultimo,qs_primero,qs_aleatorio,qs_mediana
1000,0.000895,0.000765,0.000777,0.000858,0.000712,0.000703,0.000672,0.000925
3000,0.002390,0.002040,0.002089,0.002418,0.002459,0.002631,0.002443,0.003095
5000,0.004345,0.004455,0.004443,0.005015,0.003978,0.004185,0.004489,0.005464
7000,0.006209,0.006195,0.005941,0.006013,0.006475,0.006372,0.006179,0.007396
9000,0.006666,0.008110,0.007075,0.006502,0.007875,0.007701,0.007783,0.009056
11000,0.009765,0.010273,0.008276,0.009131,0.010584,0.010932,0.011565,0.013971
13000,0.010507,0.011119,0.009842,0.009819,0.011107,0.010760,0.011291,0.012817
15000,0.013373,0.012481,0.011514,0.011534,0.014494,0.015675,0.015537,0.016642
17000,0.014957,0.013379,0.012127,0.011573,0.015580,0.016095,0.015231,0.017534
19000,0.019692,0.017115,0.015605,0.014943,0.022343,0.021316,0.020712,0.023916
